읍면,급사면px,물리_임계비율,평균경사,급사면비율,평균dNBR,흉터비율,평균토심,평균m0,y
시천면,15984,0.0,28.58732457728954,0.8979775280898876,-0.1289218623354626,0.009009009009009009,0.33499749802850987,0.14055305519500175,0
시천면,17293,0.00034696119817267105,31.356380783442383,0.9715168539325842,0.07354614822558952,0.4075637541201642,0.2769964750898599,0.11430636844128407,0
시천면,17076,0.0,30.002294988424445,0.9593258426966292,-0.16787525531433098,0.04228156476926681,0.36357753780319446,0.12986062503181806,0
시천면,15911,0.0,28.84507750811519,0.893876404494382,-0.3965482967140122,0.0008170448117654453,0.220118159233089,0.11209854988161065,0
시천면,16823,0.0,34.02875179120025,0.9451123595505618,-0.19105213723870215,0.01069963740117696,0.26624561809320013,0.10846460368505295,0
시천면,16916,0.0,29.28628274356538,0.9456090334842641,-0.015563007314254283,0.18278552849373375,0.4487378823199391,0.10748404038149038,0
시천면,16988,0.0,28.849576778851986,0.9543820224719101,0.12553371745250638,0.5530374381916647,0.23220214374979187,0.12146809693598694,0
시천면,17493,0.0001714971702966901,31.07418893106341,0.982752808988764,0.3039541929560477,0.922711941919625,0.20044017904827527,0.10000000149011612,0
시천면,14894,0.04666308580636498,29.03800497417468,0.8367415730337079,0.24799864007874445,0.8015308177789714,0.7218611522942754,0.10000000149011612,0
시천면,9430,0.08759278897136798,33.259639249298,0.5297752808988764,0.560708971323163,1.0,0.33712089301135356,0.10000000149011612,0
시천면,14249,0.0,35.62598580836882,0.8005056179775281,0.4326871238918978,0.9971226050950944,0.20000000298023224,0.10000000149011612,0
시천면,36184,0.0,28.707935016239055,0.9046,-0.1668364326594158,0.008346230378067655,0.408420849799049,0.1477199889704661,0
시천면,36858,0.0,28.65601684826054,0.92145,-0.15712497779389478,0.04794074556405665,0.21836643522426707,0.11395084017774411,0
시천면,37641,7.970032677133976e-05,31.48129095716642,0.941025,-0.30633948891819296,0.005047687362184852,0.22015355818765564,0.10990940896745556,0
시천면,31575,0.002660332541567696,28.89684028622468,0.789375,-0.32377514634467797,0.006935866983372922,0.3714315133253356,0.15368171339198322,0
시천면,34009,0.0,27.662537740214816,0.850225,-0.201814278674618,0.014260930930047929,0.457634743123089,0.1310153216760656,0
시천면,37450,0.0,28.746775514605208,0.931592039800995,-0.16296080634781263,0.0016555407209612816,0.5762002673741177,0.10726301895481881,0
시천면,38349,0.0,30.80665292863961,0.958725,-0.009131526971847806,0.2668648465409789,0.45440168053517144,0.10872773897968348,0
시천면,38046,0.0017084581822004942,30.18205955518205,0.95115,0.006846557526664606,0.24975030226567838,0.4739644128907769,0.10618199180459735,0
시천면,32945,0.011443314615267871,32.772619747388234,0.823625,0.19723756281957663,0.690514493853392,0.2803338923612953,0.10000000149011612,0
시천면,35149,0.004751202025662181,31.836239102480338,0.878725,0.48406188019537216,0.9996301459500981,0.23306353234672259,0.10000000149011612,0
시천면,36692,0.0,33.99811254092967,0.9173,0.5928730534946601,0.9998364766161562,0.20000000298023224,0.10000000149011612,0
삼장면,38712,0.020717090307914857,28.781317588908042,0.9678,0.5840270664084084,1.0,0.3058741499576891,0.1192498467862606,0
삼장면,39224,0.0008158270446665307,32.01501648894821,0.9806,0.5004493650045766,0.9982918621252295,0.21901387193696295,0.10345706864340486,0
삼장면,35688,0.00028020623178659493,27.983146343442844,0.8922,0.432944449008635,0.993583277292087,0.20206512289730938,0.10037547784630518,0
삼장면,37187,0.0006991690644580095,25.39406072178195,0.9250497512437811,0.2515726369675835,0.855621588189421,0.4043845986404407,0.100263534449108,0
시천면,37922,0.0,30.216130190437326,0.94805,-0.28525855224432023,0.0034544591529982595,0.2265123167509369,0.11125468231812666,0
시천면,34303,0.0,27.270810481588217,0.857575,-0.32285626300330694,0.0019240299682243536,0.5787817393442745,0.17593796723118935,0
시천면,36643,0.00013645170973992305,29.77163531814532,0.916075,-0.18997714696796217,0.021859563900335673,0.3502265119908519,0.1274349826592381,0
시천면,36356,0.002970623831004511,30.680817959633632,0.9089,-0.34625479147275506,0.011662449114314006,0.3898352416393511,0.14221036639374002,0
시천면,23974,0.001334779344289647,25.812021928920732,0.59935,-0.2155310005173637,0.021398181363143406,0.5886835726643858,0.20943522575132897,0
시천면,24456,8.177952240758914e-05,26.36853519459351,0.6114,-0.24534028109474124,0.0048249918220477596,0.3535165185663858,0.17198233953398362,0
시천면,35962,0.0013903564874033702,28.065833608934835,0.89905,-0.28056607858789534,0.009009510038373839,0.6987458986662318,0.12013514477718786,0
