code,class_kr,z_soil_depth_m,note,provenance,source
1,<20,0.2,<0.2m 대표값,MODEL,농진청 정밀토양도 AD 유효토심 등급 중앙값 (얕은산사태 파괴면=토양-기반암 경계)
2,20-50,0.35,20-50cm 중앙값,MODEL,농진청 정밀토양도 AD 유효토심 등급 중앙값 (얕은산사태 파괴면=토양-기반암 경계)
3,50-100,0.75,50-100cm 중앙값,MODEL,농진청 정밀토양도 AD 유효토심 등급 중앙값 (얕은산사태 파괴면=토양-기반암 경계)
4,>100,1.2,">1m, 얕은산사태 상한 1.2m 캡",MODEL,농진청 정밀토양도 AD 유효토심 등급 중앙값 (얕은산사태 파괴면=토양-기반암 경계)
