t_sec,WSE_고읍교,h_고읍교,WSE_경호교,h_경호교,WSE_수산교,h_수산교
21600,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
22200,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
22800,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
23400,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
24000,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
24600,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
25200,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
25800,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
26400,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
27000,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
27600,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
28200,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
28800,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
29400,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
30000,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
30600,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
31200,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
31800,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
32400,111.20692717639997,0.0,87.22244222421986,0.0,59.12920633447404,7.105427357601002e-15
33000,111.20692717639997,0.0,88.54725415611293,1.3248119318930662,59.12920633447404,7.105427357601002e-15
33600,111.20692717639997,0.0,89.28711611880597,2.0646738945861074,59.12920633447404,7.105427357601002e-15
34200,111.20692717639997,0.0,89.61183873801944,2.389396513799582,59.12920633447404,7.105427357601002e-15
34800,111.20692717639997,0.0,89.73184950548668,2.5094072812668173,59.12920633447404,7.105427357601002e-15
35400,111.20692717639997,0.0,89.80839744051637,2.5859552162965116,59.12920633447404,7.105427357601002e-15
