t_sec,WSE_고읍교,h_고읍교,WSE_경호교,h_경호교,WSE_수산교,h_수산교
50400,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
51000,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
51600,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
52200,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
52800,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
53400,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
54000,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
54600,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
55200,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
55800,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
56400,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
57000,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
57600,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
58200,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
58800,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
59400,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
60000,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
60600,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
61200,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
61800,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
62400,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
63000,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
63600,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
64200,117.78806735102069,0.0,87.43739315331048,0.0,59.92628516217089,0.0
64800,117.78806735102069,0.0,87.45751875012371,0.020125596813230118,59.92628516217089,0.0
65400,117.78806735102069,0.0,87.84685022642667,0.4094570731161866,59.92628516217089,0.0
66000,117.78806735102069,0.0,88.17056215291531,0.7331689996048283,59.92628516217089,0.0
66600,117.78806735102069,0.0,88.49288213288706,1.0554889795765803,59.92628516217089,0.0
67200,117.78806735102069,0.0,88.71294782427795,1.275554670967466,59.92628516217089,0.0
67800,117.78806735102069,0.0,88.87865811296255,1.4412649596520737,59.92628516217089,0.0
68400,117.78806735102069,0.0,89.0102041404274,1.5728109871169238,59.92628516217089,0.0
69000,117.78806735102069,0.0,89.11528586344839,1.677892710137911,59.92628516217089,0.0
69600,117.78806735102069,0.0,89.19800895871666,1.7606158054061751,59.92628516217089,0.0
70200,117.78806735102069,0.0,89.27590380208105,1.8385106487705656,59.92628516217089,0.0
70800,117.78806735102069,0.0,89.34301285874862,1.9056197054381414,59.92628516217089,0.0
71400,117.78806735102069,0.0,89.39409413120575,1.9567009778952666,59.92628516217089,0.0
72000,117.78806735102069,0.0,89.43038530165272,1.992992148342239,59.92628516217089,0.0
72600,117.78806735102069,0.0,89.4547499253534,2.017356772042916,59.92628516217089,0.0
73200,117.78806735102069,0.0,89.47126268051015,2.03386952719967,59.92628516217089,0.0
73800,117.78806735102069,0.0,89.48207364764745,2.0446804943369727,59.92628516217089,0.0
74400,117.78806735102069,0.0,89.48836873238935,2.050975579078866,59.92628516217089,0.0
75000,117.78806735102069,0.0,89.4912745205452,2.053881367234723,59.92628516217089,0.0
75600,117.78806735102069,0.0,89.49166070735825,2.054267554047769,59.92628516217089,0.0
76200,117.78806735102069,0.0,89.49016217752992,2.052769024219444,59.92628516217089,0.0
76800,117.78806735102069,0.0,89.48725317564403,2.0498600223335472,59.92628516217089,0.0
77400,117.78806735102069,0.0,89.4832941325979,2.045900979287424,59.92628516217089,0.0
78000,117.78806735102069,0.0,89.47859076760409,2.0411976142936084,59.92628516217089,0.0
78600,117.78806735102069,0.0,89.47339295826934,2.0359998049588626,59.92628516217089,0.0
79200,117.78806735102069,0.0,89.46788327343978,2.0304901201293006,59.92628516217089,0.0
79800,117.78806735102069,0.0,89.46218719514683,2.024794041836344,59.92628516217089,0.0
80400,117.78806735102069,0.0,89.45638653557072,2.018993382260234,59.92628516217089,0.0
81000,117.78806735102069,0.0,89.4505415506951,2.013148397384626,59.92628516217089,0.0
81600,117.78806735102069,0.0,89.44470643599108,2.007313282680599,59.92628516217089,0.0
82200,117.78806735102069,0.0,89.43885920806221,2.001466054751731,59.92628516217089,0.0
82800,117.78806735102069,0.0,89.43306319447834,1.9956700411678554,59.92628516217089,0.0
83400,117.78806735102069,0.0,89.42739502560474,1.9900018722942576,59.92628516217089,0.0
84000,117.78806735102069,0.0,89.42188082968838,1.9844876763778956,59.92628516217089,0.0
84600,117.78806735102069,0.0,89.41658053280092,1.9791873794904404,59.92628516217089,0.0
85200,117.78806735102069,0.0,89.41162991447679,1.9742367611663099,59.92628516217089,0.0
85800,117.78806735102069,0.0,89.40720078864489,1.969807635334405,59.92628516217089,0.0
86400,117.78806735102069,0.0,89.40342688228763,1.966033728977152,59.92628516217089,0.0
87000,117.78806735102069,0.0,89.40038295113574,1.9629897978252586,59.92628516217089,0.0
87600,117.78806735102069,0.0,89.39809052490348,1.9606973715929996,59.92628516217089,0.0
88200,117.78806735102069,0.0,89.39653218368812,1.9591390303776421,59.92628516217089,0.0
88800,117.78806735102069,0.0,89.39567052452085,1.9582773712103716,59.92628516217089,0.0
89400,117.78806735102069,0.0,89.39546619141456,1.9580730381040752,59.92628516217089,0.0
90000,117.78806735102069,0.0,89.39590091689794,1.9585077635874626,59.92628516217089,0.0
90600,117.78806735102069,0.0,89.39698449699851,1.9595913436880323,59.92628516217089,0.0
91200,117.78806735102069,0.0,89.39876045038179,1.9613672970713054,59.92628516217089,0.0
91800,117.78806735102069,0.0,89.4013084593971,1.9639153060866192,59.92628516217089,0.0
